state_name,2020,2021,2022,2023,2024
AK,1137.0188514406057,1189.7902745287572,1313.572803169002,1422.5389835359401,1485.714066450494
AL,977.4585118807638,1070.506894423067,1179.1121141448848,1226.3676005956975,1243.9016092834922
AR,861.316050391589,928.0892752962809,1031.6546647244509,1111.1315276370499,1150.0329945084911
AZ,1063.7786817879448,1217.8475651999684,1379.2592444174325,1423.6452281414004,1440.5297027580673
CA,1776.184692733847,1897.171005768494,2095.3222346844495,2176.1325010289793,2238.565729246731
CO,1370.6292330241467,1464.131497271577,1602.5785912177867,1679.1577353620135,1711.2845343782715
CT,1384.405898162438,1499.9996989729082,1646.381291621102,1783.784002133345,1922.1623093816802
DE,1273.300553223871,1419.739375319795,1563.4341660719965,1623.6449176008773,1661.2619281930274
FL,1236.3094131057878,1406.71425111192,1659.2127099865156,1731.5365258074098,1736.7011005285178
GA,1025.468620990275,1140.1520878081237,1279.919906375262,1348.7115426824714,1381.2911171961462
HI,2010.135220077228,2129.0617635543604,2253.810723870298,2334.5537592551104,2421.5110773367596
IA,838.4725148759921,862.2788802955125,906.3465311850596,956.8912368202576,986.3691132865644
ID,902.3854036197334,1067.6858516668192,1196.931797390766,1213.1381087063094,1235.2787074884993
IL,819.508381864591,851.2091553991115,931.3308397660586,1007.0354024802258,1073.7376123205984
IN,817.004217134339,879.1235081699682,980.0673488891782,1047.133743118534,1098.045808738644
KS,787.2609976855465,811.7330806891781,866.043505665651,931.1699846698049,990.9579269455002
KY,928.3361317777653,983.8592558668632,1086.986027166513,1167.3571827694514,1226.7097928383403
LA,974.1943853417254,1064.8181824383812,1121.602408160881,1143.6616792318305,1182.4197846194313
MA,1658.1308455182173,1730.7048455752113,1913.1431471904634,2090.426141366492,2209.904476708168
MD,1213.5823697771762,1314.4007951376432,1406.8674396136248,1482.1766139867484,1558.9578181491725
ME,1112.7573724859956,1227.4564630033838,1364.7078906157258,1487.7528370418806,1575.5847467090261
MI,1007.7161019207036,1080.0046257516628,1186.2879456882486,1241.9949507110384,1303.8550962980592
MN,1048.2050855974308,1076.1076048105147,1152.0333654018136,1204.684649685574,1241.4242894192425
MO,831.9256872573847,884.6114833079432,975.2649750500997,1049.188633320798,1103.2332837598778
MS,1033.7457415226463,1106.5332317048533,1209.2890686044047,1249.876050615798,1305.3243070445744
MT,1079.749267714232,1233.9070557318032,1407.9334303526714,1476.1821763283558,1507.8537094439355
NC,1025.0081791855312,1120.3030860135832,1293.5878900850294,1358.9221450324894,1383.3198381190853
ND,784.8850911510224,822.3325820386441,872.9832899724896,998.0787618266585,1110.9943841398338
NE,907.5221920325796,950.3087986138305,1029.9589982381783,1117.9709703369645,1164.2829159846858
NH,1242.0897026952066,1361.7707877384832,1529.2244205416182,1668.3310600236405,1746.710170951415
NJ,1433.4107813789265,1579.8710482297897,1804.567536208097,1945.8715544360393,2025.6899098861572
NM,1177.6478232175969,1284.288901335051,1457.0495712223874,1583.13615927427,1618.9512315705058
NV,1262.2265715577066,1440.8522602628798,1561.6001271988398,1556.982380576576,1583.2156125854272
NY,1288.8091866622162,1362.8938968486532,1531.9498249254102,1638.6245838078057,1730.8677893657261
OH,827.5808138669362,884.4675154663774,971.1505477996495,1035.3801360870727,1090.2218910552308
OK,865.6937508979861,942.442187557652,1047.756464512703,1080.3424913533281,1119.8789472693707
OR,1304.335999043559,1396.9368010009803,1536.7012834455313,1621.917221268543,1670.391142735787
PA,941.5273900825885,1018.6613404046251,1112.81925811489,1182.44052007366,1237.9105334394208
RI,1328.0265182899418,1460.7106990833447,1624.0885327738722,1774.494811947894,1900.633676072501
SC,1131.1054363862338,1241.7064120724635,1431.7013845564359,1507.05658332686,1544.079920060708
SD,826.019170912768,890.6634000261852,1040.208135054995,1078.414120940975,1100.5327786269822
TN,977.7252716443503,1081.1589117142453,1233.2118046661278,1293.8658519610551,1331.169064514509
TX,967.0176513668515,1019.7886021711812,1118.7358398351732,1178.8427296375794,1199.549050142611
UT,1145.1715817385823,1273.1018922907836,1440.4331191007786,1497.5047791509419,1511.3335278129307
VA,1282.2256829892344,1363.0104240191492,1502.8241122281354,1577.4960459695765,1645.8897954785098
VT,1348.2231181466407,1435.3124002668062,1586.3025040607,1778.058448609788,1872.873533348191
WA,1253.1446118540855,1376.38182881911,1514.8358927110075,1591.790926970128,1645.7211792510395
WI,1116.783369596693,1160.918931249817,1244.2787790610023,1358.0011228811452,1422.1784751239334
WY,884.8304791473747,947.3389705793114,1008.8968054658097,1065.0891378007761,1105.8449723083895
